soc,t_start,t_end,scenario,eta,rank,task_id,dims,w,p_start,p_end,Delta_p,r
49-1011.00,2024.0,2035.0,Fast,1.0,5,2915,D2,0.052655,0.0627441385190934,0.0674057976300469,0.004661659110953495,0.007375398815023446
49-1011.00,2024.0,2035.0,Fast,1.0,6,2930,D6,0.04069,0.0484865444182302,0.0520889166378617,0.0036023722196315,0.0056994583189308515
49-1011.00,2024.0,2035.0,Fast,1.0,7,2932,D4,0.033335,0.0397222648852716,0.0426734833158791,0.0029512184306074996,0.004669241657939551
49-1011.00,2024.0,2035.0,Fast,1.0,8,2914,D7,0.060013,0.0541886403128136,0.0514973853797804,-0.0026912549330331964,0.004257807310109798
49-1011.00,2024.0,2035.0,Fast,1.0,9,15263,D7,0.058933,0.0532134560771007,0.0505706332392415,-0.0026428228378592017,0.0041811833803792504
49-1011.00,2024.0,2035.0,Fast,1.0,10,15262,D7,0.056987,0.0514563185560847,0.0489007631786037,-0.002555555377480999,0.004043118410698151
49-1011.00,2024.0,2035.0,Fast,2.0,1,2929,D2,0.057635,0.0817102153829971,0.0908966371304961,0.009186421747499007,0.016630818565248052
49-1011.00,2024.0,2035.0,Fast,2.0,2,2918,D4,0.056513,0.0801195350384196,0.0891271216128346,0.009007586574415,0.016307060806417303
49-1011.00,2024.0,2035.0,Fast,2.0,3,2925,D1,0.056277,0.0797849534329648,0.08875492405297,0.008969970620005208,0.016238962026485
49-1011.00,2024.0,2035.0,Fast,2.0,4,2912,D5,0.058948,0.0365484144709767,0.0280012368533372,-0.008547177617639505,0.015473381573331401
49-1011.00,2024.0,2035.0,Fast,2.0,5,2915,D2,0.052655,0.074649976420434,0.0830426377740309,0.008392661353596897,0.015193818887015448
49-1011.00,2024.0,2035.0,Fast,2.0,6,2930,D6,0.04069,0.0576869725676091,0.0641725369105558,0.006485564342946698,0.011741268455277901
49-1011.00,2024.0,2035.0,Fast,2.0,7,2932,D4,0.033335,0.0472596517704903,0.0525729053308768,0.005313253560386498,0.009618952665438402
49-1011.00,2024.0,2035.0,Fast,2.0,8,2914,D7,0.060013,0.047356937791246,0.0425276387717278,-0.004829299019518202,0.008742680614136099
49-1011.00,2024.0,2035.0,Fast,2.0,9,15263,D7,0.058933,0.046504697563053,0.0417623070956998,-0.004742390467353197,0.0085853464521501
49-1011.00,2024.0,2035.0,Fast,2.0,10,15262,D7,0.056987,0.0449690869296608,0.040383292797968,-0.0045857941316928,0.008301853601016002
49-1011.00,2024.0,2035.0,Fast,4.0,1,2929,D2,0.057635,0.1112053251141248,0.1237052347804166,0.012499909666291803,0.0330351173902083
49-1011.00,2024.0,2035.0,Fast,4.0,2,2918,D4,0.056513,0.1090404535121807,0.121297023217588,0.012256569705407297,0.032392011608794
49-1011.00,2024.0,2035.0,Fast,4.0,3,2925,D1,0.056277,0.1085850972750517,0.1207904831740696,0.012205385899017901,0.0322567415870348
49-1011.00,2024.0,2035.0,Fast,4.0,4,2915,D2,0.052655,0.1015965367204692,0.1130163813197334,0.011419844599264206,0.030180690659866703
49-1011.00,2024.0,2035.0,Fast,4.0,5,2912,D5,0.058948,0.0204589196716651,0.0114779439240136,-0.008980975747651502,0.0237350280379932
49-1011.00,2024.0,2035.0,Fast,4.0,6,2930,D6,0.04069,0.078510361393142,0.0873352303845779,0.008824868991435891,0.02332261519228895
49-1011.00,2024.0,2035.0,Fast,4.0,7,2932,D4,0.033335,0.0643190684944799,0.0715487811469625,0.007229712652482609,0.019106890573481253
49-1011.00,2024.0,2035.0,Fast,4.0,8,2914,D7,0.060013,0.0324399933729898,0.0260061430228632,-0.006433850350126599,0.0170034284885684
49-1011.00,2024.0,2035.0,Fast,4.0,9,15263,D7,0.058933,0.0318561999808443,0.0255381338504391,-0.006318066130405205,0.01669743307478045
49-1011.00,2024.0,2035.0,Fast,4.0,10,15262,D7,0.056987,0.030804290776108,0.0246948506564229,-0.006109440119685099,0.01614607467178855
49-1011.00,2024.0,2035.0,Fast,8.0,1,2929,D2,0.057635,0.1602431366722884,0.166759361153337,0.006516224481048605,0.054562180576668506
49-1011.00,2024.0,2035.0,Fast,8.0,2,2918,D4,0.056513,0.1571236294397681,0.163513000379258,0.006389370939489908,0.053500000189629
49-1011.00,2024.0,2035.0,Fast,8.0,3,2925,D1,0.056277,0.1564674764033378,0.1628301651362253,0.006362688732887506,0.05327658256811266
49-1011.00,2024.0,2035.0,Fast,8.0,4,2915,D2,0.052655,0.1463971954798186,0.1523503801774783,0.00595318469765968,0.04984769008873914
49-1011.00,2024.0,2035.0,Fast,8.0,5,2930,D6,0.04069,0.1131307925946979,0.117731212029657,0.004600419434959105,0.0385206060148285
49-1011.00,2024.0,2035.0,Fast,8.0,6,2932,D4,0.033335,0.0926816163957792,0.0964504780783636,0.003768861682584404,0.0315577390391818
49-1011.00,2024.0,2035.0,Fast,8.0,7,2912,D5,0.058948,0.0048398567516628,0.0014036521231509,-0.0034362046285118996,0.02877217393842455
49-1011.00,2024.0,2035.0,Fast,8.0,8,2914,D7,0.060013,0.0102389072025807,0.0070779407114824,-0.0031609664910983003,0.0264675296442588
49-1011.00,2024.0,2035.0,Fast,8.0,9,15263,D7,0.058933,0.0100546467960223,0.0069505653766649,-0.0031040814193574002,0.02599121731166755
49-1011.00,2024.0,2035.0,Fast,8.0,10,15262,D7,0.056987,0.0097226368412422,0.0067210538937438,-0.003001582947498401,0.025132973053128102
